CATEGORY_ID,CATEGORY_NAME,CRIME_TYPE,KEYWORDS_LIST,AI_PROMPT_TEXT,LAST_UPDATED
6777543897,Burglary,BURGLARY: Forcible entry,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
1116413286,Burglary,BURGLARY: Unlawful entry - no force,"{break-in,trespass,forced,burglarized,smashed,robbed,intruder,house}",Can you describe what was broken into and any items that were taken? Knowing the location and time can also be helpful.,2024-11-07 02:04:25.110677
6750085185,Fraud,FRAUD: Other Fraud,"{scam,cheat,stolenidentity,fake,trick,fraud,lie,phony,rippedoff,forged}","Could you explain what happened? If you noticed any unusual transactions or were tricked into giving out information, we’d like to know.",2024-11-07 02:04:25.110677
2439161293,Miscellaneous Offenses,OTHER: All Other Offenses,"{offense,crime,illegal,charge,violation,misconduct,unlawful,wrong}",Please describe the situation in as much detail as you can. Any information you provide will be useful.,2024-11-07 02:04:25.110677
3517031816,Theft,THEFT: All other larceny,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
2692888345,Theft,OTHER: Stolen Property,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
1280909710,Unknown,VANDALISM: Vandalism,{},"Could you tell us more about this unknown? Any details about the people involved, location, or what happened would help.",2024-11-07 02:04:25.110677
2536029019,Assault,ASSAULT: Other Assaults,"{attack,hit,hurt,fight,punched,violence,weapon,threaten,injured,abuse}","Can you describe what happened during the incident? If there were any injuries or weapons involved, please feel free to mention those details.",2024-11-07 02:04:25.110677
6431721713,Theft,THEFT: Theft from motor vehicle,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
7326947380,Theft,THEFT: Shoplifting,"{stolen,missing,took,break-in,rob,purse,snatch,valuables,swipe,break,steal}",Could you share details on any items that went missing and where this happened? Any specifics you remember could be really helpful.,2024-11-07 02:04:25.110677
